線	1	265321
道	1	136553
号	1	88027
国	1	83737
国道	2	74833
田	1	55959
山	1	47713
車	1	47222
大	1	45980
学	1	45434
川	1	44256
立	1	42433
園	1	39277
市	1	39086
小	1	38420
校	1	37307
野	1	36528
学校	2	36187
中	1	35441
東	1	28360
場	1	28164
高	1	26296
局	1	25197
市立	2	25195
自	1	24389
所	1	24195
車場	2	23552
保	1	23399
上	1	22751
動	1	22352
車道	2	22275
原	1	21640
自動	2	21638
自動車	3	21453
動車	2	21453
動車道	3	20955
自動車道	4	20955
島	1	20954
停	1	20373
停車	2	20352
停車場	3	20351
小学	2	19767
小学校	3	19752
郵	1	19611
便	1	19481
郵便	2	19379
便局	2	19337
郵便局	3	19337
育	1	19273
場線	2	18670
北	1	18443
車場線	3	18222
停車場線	4	18220
保育	2	18059
津	1	17905
松	1	17045
署	1	16981
西	1	16962
町	1	15950
三	1	15902
新	1	15840
木	1	15708
本	1	15556
南	1	15495
井	1	15250
会	1	14940
和	1	14561
院	1	14173
岡	1	14072
福	1	14031
神	1	13964
橋	1	13629
日	1	13535
田線	2	13516
路	1	13292
部	1	13237
沢	1	13043
内	1	12891
館	1	12836
察	1	12707
通	1	12611
育園	2	12520
県	1	12508
谷	1	12452
保育園	3	12410
屋	1	12313
下	1	12188
り	1	12174
稚	1	12068
幼	1	11930
警	1	11930
幼稚	2	11787
稚園	2	11778
幼稚園	3	11778
警察	2	11745
崎	1	11577
警察署	3	11558
察署	2	11558
戸	1	11321
浜	1	11095
宮	1	10458
の	1	10377
長	1	9906
佐	1	9898
吉	1	9836
中学	2	9807
川線	2	9755
中学校	3	9753
八	1	9708
寺	1	9705
社	1	9377
江	1	9371
道路	2	9354
都	1	9215
石	1	9080
生	1	9035
平	1	8982
名	1	8924
駐	1	8874
病	1	8846
病院	2	8791
別	1	8776
海	1	8744
久	1	8618
街	1	8614
山線	2	8612
富	1	8580
野線	2	8540
号線	2	8461
通り	2	8449
城	1	8372
美	1	8194
街道	2	8145
水	1	8101
人	1	8063
瀬	1	8020
児	1	7975
京	1	7719
豊	1	7595
地	1	7568
第	1	7548
口	1	7475
子	1	7449
前	1	7399
府	1	7373
環	1	7336
尾	1	7313
見	1	7305
在	1	7303
広	1	7266
浦	1	7152
鹿	1	7074
金	1	7071
港	1	6961
防	1	6950
科	1	6918
県道	2	6803
賀	1	6764
倉	1	6672
安	1	6629
番	1	6614
公	1	6512
白	1	6498
出	1	6418
央	1	6403
伊	1	6400
村	1	6386
岩	1	6303
河	1	6198
阪	1	6183
消	1	6131
交	1	6056
消防	2	6056
根	1	6008
一	1	5974
童	1	5883
郷	1	5743
多	1	5737
古	1	5696
児童	2	5641
越	1	5632
交番	2	5630
関	1	5591
中央	2	5590
育所	2	5576
方	1	5576
保育所	3	5576
合	1	5557
家	1	5462
支	1	5453
等	1	5403
二	1	5357
み	1	5296
原線	2	5287
町立	2	5283
横	1	5259
駐在	2	5177
坂	1	5173
在所	2	5161
駐在所	3	5158
店	1	5132
光	1	5119
良	1	5075
高等	2	5056
泉	1	5045
ん	1	4955
い	1	4938
状	1	4915
環状	2	4913
等学	2	4898
湯	1	4890
等学校	3	4889
高等学	3	4869
高等学校	4	4861
島線	2	4843
五	1	4837
千	1	4790
か	1	4784
宇	1	4776
祉	1	4765
福祉	2	4763
法	1	4756
護	1	4709
代	1	4653
台	1	4635
明	1	4617
清	1	4577
間	1	4510
公園	2	4501
加	1	4436
ヶ 	1	4424
黒	1	4422
米	1	4413
港線	2	4382
森	1	4337
行	1	4316
鳥	1	4300
務	1	4300
志	1	4289
林	1	4281
藤	1	4153
き	1	4146
羽	1	4133
目	1	4128
熊	1	4080
老	1	4069
ま	1	4063
分	1	4031
之	1	4021
センター 	1	3999
天	1	3995
大学	2	3920
陽	1	3895
州	1	3892
京都	2	3884
神社	2	3857
速	1	3827
里	1	3818
九	1	3818
徳	1	3817
門	1	3812
奈	1	3799
土	1	3764
バイパス 	1	3759
ら	1	3738
阿	1	3735
御	1	3727
高速	2	3724
さ	1	3701
玉	1	3658
須	1	3648
消防署	3	3645
防署	2	3645
十	1	3566
駅	1	3537
飯	1	3536
手	1	3525
岡線	2	3471
青	1	3455
庫	1	3433
養	1	3433
し	1	3415
社会	2	3411
武	1	3390
銀	1	3369
状線	2	3367
環状線	3	3367
赤	1	3331
木線	2	3331
ノ 	1	3327
辺	1	3327
易	1	3318
馬	1	3313
庄	1	3281
や	1	3268
医	1	3267
簡	1	3264
塚	1	3263
簡易	2	3262
と	1	3250
事	1	3249
鶴	1	3247
津線	2	3236
知	1	3232
遊	1	3219
大阪	2	3207
秋	1	3205
業	1	3199
駐車	2	3195
県立	2	3195
沢線	2	3184
駐車場	3	3183
池	1	3182
法人	2	3177
矢	1	3175
花	1	3153
陸	1	3140
区	1	3140
な	1	3137
丸	1	3129
那	1	3087
条	1	3063
園線	2	3044
農	1	3039
域	1	3034
会福	2	3014
勝	1	3008
仁	1	3006
内線	2	3006
老人	2	2991
井線	2	2970
士	1	2963
く	1	2962
会福祉	3	2959
社会福祉	4	2951
社会福	3	2951
銀行	2	2945
府道	2	2937
信	1	2932
葉	1	2930
波	1	2873
祉法人	3	2868
あ	1	2868
福祉法人	4	2868
祉法	2	2868
福祉法	3	2868
春	1	2867
会福祉法	4	2865
